Operator,Change Type,Airflow(1.0),Airflow(2.0),Impact,Replace,Manual Intervention,
BigQueryTableExistenceSensor,Changes in import,from airflow.contrib.sensors.bigquery_sensor import BigQueryTableSensor,"from airflow.providers.google.cloud.sensors.bigquery import BigQueryTableExistenceSensor

",Import Statement Changed,TRUE,FALSE,
BigQueryTableExistenceSensor,Changes in Sensor,BigQueryTableSensor,BigQueryTableExistenceSensor,Operator Name Change,TRUE,FALSE,
BigQueryTableExistenceSensor,Argument changes,No Changes,No Changes,Labels may or may not be required. Need to look for alternative to add labels,FALSE,FALSE,
BigQueryCreateEmptyTableOperator,Changes in import,from airflow.contrib.operators.bigquery_operator import BigQueryCreateEmptyTableOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryCreateEmptyTableOperator,Import Statement Changed,TRUE,FALSE,
BigQueryCreateEmptyTableOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigQueryCreateEmptyTableOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryIntervalCheckOperator,Changes in import,from airflow.contrib.operators.bigquery_check_operator import BigQueryIntervalCheckOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryIntervalCheckOperator,Import Statement Changed,TRUE,FALSE,
BigQueryIntervalCheckOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigQueryIntervalCheckOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryGetDataOperator,Changes in import,from airflow.contrib.operators.bigquery_get_data import BigQueryGetDataOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryGetDataOperator,Import Statement Changed,TRUE,FALSE,
BigQueryGetDataOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigQueryGetDataOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryCreateEmptyDatasetOperator,Changes in import,from airflow.contrib.operators.bigquery_operator import BigQueryCreateEmptyDatasetOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryCreateEmptyDatasetOperator,Import Statement Changed,TRUE,FALSE,
BigQueryCreateEmptyDatasetOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigQueryCreateEmptyDatasetOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryCreateExternalTableOperator,Changes in import,from airflow.contrib.operators.bigquery_operator import BigQueryCreateExternalTableOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryCreateExternalTableOperator,Import Statement Changed,TRUE,FALSE,
BigQueryCreateExternalTableOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigQueryCreateExternalTableOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryDeleteDatasetOperator,Changes in import,from airflow.contrib.operators.bigquery_operator import BigQueryDeleteDatasetOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryDeleteDatasetOperator,Import Statement Changed,TRUE,FALSE,
BigQueryDeleteDatasetOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
BigQueryDeleteDatasetOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
BigQueryTableDeleteOperator,Changes in import,from airflow.contrib.operators.bigquery_table_delete_operator import BigQueryTableDeleteOperator,from airflow.providers.google.cloud.operators.bigquery import BigQueryDeleteTableOperator,Import Statement Changed,TRUE,FALSE,
BigQueryTableDeleteOperator,Changes in Operator,BigQueryTableDeleteOperator,BigQueryDeleteTableOperator,Operator Name Change,TRUE,FALSE,
BigQueryTableDeleteOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
DataFlowJavaOperator,Changes in import,from airflow.contrib.operators.dataflow_operator import DataFlowJavaOperator,from airflow.providers.google.cloud.operators.dataflow import DataflowCreateJavaJobOperator,Import Statement Changed,TRUE,FALSE,
DataFlowJavaOperator,Changes in Operator,DataFlowJavaOperator,DataflowCreateJavaJobOperator,Operator Name Change,TRUE,FALSE,
DataFlowJavaOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
DataProcHadoopOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataProcHadoopOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocSubmitHadoopJobOperator,Import Statement Changed,TRUE,FALSE,
DataProcHadoopOperator,Changes in Operator,DataProcHadoopOperator,DataprocSubmitHadoopJobOperator,Operator Name Change,TRUE,FALSE,
DataProcHadoopOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
DataProcHiveOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataProcHiveOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocSubmitHiveJobOperator,Import Statement Changed,TRUE,FALSE,
DataProcHiveOperator,Changes in Operator,DataProcHiveOperator,DataprocSubmitHiveJobOperator,Operator Name Change,TRUE,FALSE,
DataProcHiveOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
DataProcJobBaseOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataProcJobBaseOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocJobBaseOperator,Import Statement Changed,TRUE,FALSE,
DataProcJobBaseOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
DataProcJobBaseOperator,Argument changes,Region ,Region,Region is a mandatory parameter,TRUE,TRUE,
DataProcPigOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataProcPigOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocSubmitPigJobOperator,Import Statement Changed,TRUE,FALSE,
DataProcPigOperator,Changes in Operator,DataProcPigOperator,DataprocSubmitPigJobOperator,Operator Name Change,TRUE,FALSE,
DataProcPigOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
DataProcPySparkOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataProcPySparkOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocSubmitPySparkJobOperator,Import Statement Changed,TRUE,FALSE,
DataProcPySparkOperator,Changes in Operator,DataProcPySparkOperator,DataprocSubmitPySparkJobOperator,Operator Name Change,TRUE,FALSE,
DataProcPySparkOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
DataProcSparkOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataProcSparkOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocSubmitSparkJobOperator,Import Statement Changed,TRUE,FALSE,
DataProcSparkOperator,Changes in Operator,DataProcSparkOperator,DataprocSubmitSparkJobOperator,Operator Name Change,TRUE,FALSE,
DataProcSparkOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
DataProcSparkSqlOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataProcSparkSqlOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocSubmitSparkSqlJobOperator,Import Statement Changed,TRUE,FALSE,
DataProcSparkSqlOperator,Changes in Operator,DataProcSparkSqlOperator,DataprocSubmitSparkSqlJobOperator,Operator Name Change,TRUE,FALSE,
DataProcSparkSqlOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
DataprocClusterScaleOperator,Changes in import,from airflow.contrib.operators.dataproc_operator import DataprocClusterScaleOperator,from airflow.providers.google.cloud.operators.dataproc import DataprocScaleClusterOperator,Import Statement Changed,TRUE,FALSE,
DataprocClusterScaleOperator,Changes in Operator,No Changes,No Changes,None,FALSE,FALSE,
DataprocClusterScaleOperator,Argument changes,No Changes,No Changes,None,FALSE,FALSE,
