product,service_type,service_category,cloud_provider
Virtual Machines Eadsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines Ddv5 Series,Virtual Machines,Compute,Azure
Virtual Machines NCasT4 v3 Series,Virtual Machines,Compute,Azure
Virtual Machines GS Series,Virtual Machines,Compute,Azure
Virtual Machines NDSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines A Series,Virtual Machines,Compute,Azure
Virtual Machines Edv4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NCSv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Ddv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dsv4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Ddsv4 Series Windows,Virtual Machines,Compute,Azure
NVSv3 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines Esv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dpdsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines MSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines FX Series,Virtual Machines,Compute,Azure
Easv5 Series DedicatedHost,Virtual Machines,Compute,Azure
ECadsv5-series Windows,Virtual Machines,Compute,Azure
Virtual Machines ESv3 Series,Virtual Machines,Compute,Azure
Virtual Machines Dv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines ESv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines A Series Basic Windows,Virtual Machines,Compute,Azure
Virtual Machines NC Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NDSv2 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Av2 Series,Virtual Machines,Compute,Azure
Virtual Machines FSv2 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Ddv4 Series,Virtual Machines,Compute,Azure
Virtual Machines NDasr A100 v4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines DCS Series,Virtual Machines,Compute,Azure
Virtual Machines Dasv5 Series,Virtual Machines,Compute,Azure
DCdsv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Epdsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dpldsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines D Series Windows,Virtual Machines,Compute,Azure
ECasv5-series Windows,Virtual Machines,Compute,Azure
Virtual Machines Easv4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NVasv4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Ebsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines DSv2 promo Series,Virtual Machines,Compute,Azure
Virtual Machines NV Series Windows,Virtual Machines,Compute,Azure
Virtual Machines PB Series,Virtual Machines,Compute,Azure
Virtual Machines Dsv4 Series,Virtual Machines,Compute,Azure
Virtual Machines NVadsA10v5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines PB Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Ddsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Ev3 Series,Virtual Machines,Compute,Azure
Virtual Machines Epsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines DSv2 Series,Virtual Machines,Compute,Azure
Dsv5 Series DedicatedHost,Virtual Machines,Compute,Azure
Virtual Machines F Series,Virtual Machines,Compute,Azure
DCsv3 Series DedicatedHost,Virtual Machines,Compute,Azure
Virtual Machines Ev4 Series,Virtual Machines,Compute,Azure
Virtual Machines Esv4 Series Windows,Virtual Machines,Compute,Azure
ECadsv5-series Linux,Virtual Machines,Compute,Azure
Virtual Machines HBrsv3 Series,Virtual Machines,Compute,Azure
Edsv5 Series DedicatedHost,Virtual Machines,Compute,Azure
Virtual Machines DSv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Edsv4 Series,Virtual Machines,Compute,Azure
ESv4 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines NP Series,Virtual Machines,Compute,Azure
Virtual Machines Dv2 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines LSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines LS Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dv4 Series Windows,Virtual Machines,Compute,Azure
MSv2 Series Dedicated Host,Virtual Machines,Compute,Azure
NVasv4 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines Edsv4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Ddv4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines DCSv2 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Lsv3 Series,Virtual Machines,Compute,Azure
Virtual Machines G Series,Virtual Machines,Compute,Azure
