product,service_type,service_category,cloud_provider
Cloud Infrastructure Services RADIUS 2019 Server - Wireless Authentication NPS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services GeoServer on Windows Server 2016,CloudInfrastructureServices,License,Google
"Cloud Infrastructure Services hMail Mail Server Windows 2019 (IMAP, SMTP, POP3)",CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Nodejs Server on CentOS Server 8.4,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Weka Machine Learning on Windows 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Joomla Server + MySQL Server + Apache + phpMyadmin on CentOS 8.3,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services WordPress on Server 2016 + PhpMyAdmin + MySQL,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Proxy Server - Squid Proxy Cache on Ubuntu 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services ADFS Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services PostgreSQL Server + pgAdmin on CentOS Server 8.3,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services SFTP Secure Server Windows 2016 SSH,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Nagios Core Monitoring Server on Ubuntu 18.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services WordPress Server on Ubuntu 20.04 + Apache Web Server + FTP,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Reverse Proxy Server using NGINX on Ubuntu,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services MySQL Server + phpMyadmin on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services MariaDB Server on Windows 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Terraform on Ubuntu 18.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services DNS Server - BIND DNS Server on Ubuntu 20.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Apache Tomcat Server on Windows 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Django Server on CentOS Server 8.4,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Docker Compose Server on Windows Server 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Jenkins Server on CentOS Server 8.3,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Magento Server Open Source on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services IP PBX using FreePBX Solution on Ubuntu (VoIP),CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Joomla Server + MySQL + Apache + phpMyadmin Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services osTicket Server Helpdesk Solution on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Packer on Ubuntu Server 20.04 LTS Linux,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Docker Engine Community on Ubuntu 18.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Apache Kafka Server on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services WAMP Windows Web Server 2019 + Apache + MySQL + phpMyadmin,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Docker Engine Community on Ubuntu 20.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Ansible Control Node Server on CentOS Server 8.4,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services CentOS Server 8.3,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Proxy Cache Server using Squid,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Secure FTP Server Windows 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services PostgreSQL Server + pgAdmin on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Secure FTP Server on Windows 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services DNS Server Windows 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Redis Server on CentOS Server 8.3,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services RabbitMQ Server on Windows 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Docker Engine - Enterprise for Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Active Directory Certificate Services PKI on Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Microsoft Web Application Proxy - ADFS WAP 2016 Server,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Apache Tomcat Server on Ubuntu 18.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services XAMPP Server + Apache Web Server + MariaDB on Windows 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Ansible Control Node Server on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Windows Server 2019 Core Minimal OS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services GitLab Server (CE) Community Edition on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Proxy Server - Squid Proxy Cache on Windows 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Docker Compose Server on Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Docker Engine Community on CentOS 8.2,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services WordPress Server on Ubuntu 18.04 + Lets Encrypt + MariaDB,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services LAMP Stack Server on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Packer on Windows Server 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Proxy Server - Squid Proxy Cache on Windows 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Cloud Print Server on Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services VPN Server Solution using SoftEther VPN on Windows 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services DNS Server - BIND DNS Server on Ubuntu 18.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Apache Web Server + MySQL + phpMyadmin on CentOS Server 8.3,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services DNS Server Windows 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services MariaDB Server on Ubuntu 18.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Nagios Core Monitoring Server on Ubuntu 20.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Firebird SQL RDBMS Server on Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services NFS 2019 Windows Storage File Server,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Microsoft Web Application Proxy - ADFS WAP 2019 Server,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Terraform on Windows Server 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services MariaDB Server on Windows 2016,CloudInfrastructureServices,License,Google
"Cloud Infrastructure Services Load Balancer using NGINX (HTTP, Application, TCP)",CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Weka Machine Learning on Windows 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Apache Cassandra Cluster on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services XAMPP Server + Apache Web Server + MySQL on Windows 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Jenkins on Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Apache Tomcat Server on Windows 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Apache Tomcat Server on CentOS 8,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services ADFS Windows Server 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Redis Server on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Jenkins on Windows Server 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Webmin GUI Admin Control Panel for Ubuntu Server 20.04 LTS,CloudInfrastructureServices,License,Google
"Cloud Infrastructure Services hMail Mail Server Windows 2016 (IMAP, SMTP, POP3)",CloudInfrastructureServices,License,Google
"Cloud Infrastructure Services Debian 10 ""Buster"" Server",CloudInfrastructureServices,License,Google
Cloud Infrastructure Services HPC Pack 2019 Cluster on Windows Server 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Ubuntu Server 18.04 Minimal OS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Jenkins Server on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Active Directory Domain Controller 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services WordPress on Server 2019 + PhpMyAdmin + MySQL,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services GeoServer on Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services MariaDB Server on Ubuntu 20.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services NFS 2016 Windows Storage File Server,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Apache Cassandra Cluster on CentOS Server 8.4,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Packer on Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Squid Proxy Cache Server on CentOS 8.2,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Active Directory Certificate Services PKI on Windows Server 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services MySQL Server + phpMyadmin + Apache Web Server CentOS Server 8.3,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Node.js Server on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Terraform on Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Docker Compose Server on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services HPC Pack 2019 Cluster on Windows Server 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services osTicket Server IT Helpdesk Solution on CentOS 8.4 Server,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Webmin GUI Admin Control Panel for Ubuntu Server 18.04 LTS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Ubuntu Server 20.04 Minimal OS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Apache Kafka Server on CentOS 8.4 Server,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Ruby on Rails Server on Ubuntu Server 20.04,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Firebird SQL RDBMS Server on Windows Server 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services MySQL Server On Windows 2019 + PhpMyadmin + Apache,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Webmin GUI Admin Control Panel for CentOS 8.2 Server,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Jitsi Meet Video Conferencing on Ubuntu,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services GitLab Server (CE) Community Edition on CentOS Server 8.3,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services MySQL Server On Windows 2016 + PhpMyadmin + Apache,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Windows Server 2016 Core Minimal OS,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Nginx - On Windows Server 2016 - Proxy,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services SFTP Secure Server Windows 2019 SSH,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Active Directory Domain Controller 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Docker Engine - Enterprise for Windows Server 2016,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services VPN Server Solution using SoftEther VPN on Windows 2019,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Ruby on Rails Server on CentOS Server 8.3,CloudInfrastructureServices,License,Google
Cloud Infrastructure Services Mail Proxy Server using NGINX on Ubuntu,CloudInfrastructureServices,License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2012 R2 Benchmark - Level 1,CISCenterforInternetSecurity,License,Google
CIS (Center for Internet Security) CIS SUSE Linux Enterprise Server 12 Benchmark v2.0.0 Level 1,CISCenterforInternetSecurity,License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2012 R2 Benchmark - Level 2,CISCenterforInternetSecurity,License,Google
CIS (Center for Internet Security) CIS SUSE Linux Enterprise Server 11 Benchmark v2.0.0 Level 1,CISCenterforInternetSecurity,License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2008 R2 Benchmark - Level 2,CISCenterforInternetSecurity,License,Google
Dace IT d/b/a Sense Traffic Pulse Dace ITwith Intel OpenVINO Intelligent Traffic Management 2021,DaceITd/b/aSenseTrafficPulse,License,Google
Dace IT d/b/a Sense Traffic Pulse OpenVINO Smart City Reference Implementation,DaceITd/b/aSenseTrafficPulse,License,Google
Dace IT d/b/a Sense Traffic Pulse Dace ITwith Sense Traffic Pulse Smart Stadium Reference VM,DaceITd/b/aSenseTrafficPulse,License,Google
LiteSpeed Technologies-public CyberPanel,LiteSpeedTechnologies-public,License,Google
LiteSpeed Technologies-public OpenLiteSpeed Django,LiteSpeedTechnologies-public,License,Google
LiteSpeed Technologies-public openlitespeed-wordpress,LiteSpeedTechnologies-public,License,Google
LiteSpeed Technologies-public OpenLiteSpeed NodeJS,LiteSpeedTechnologies-public,License,Google
CLOUDUP INFOTECH PRIVATE LIMITED Jenkins-automation,CLOUDUPINFOTECHPRIVATELIMITED,License,Google
CLOUDUP INFOTECH PRIVATE LIMITED Cloudup-ERP,CLOUDUPINFOTECHPRIVATELIMITED,License,Google
CLOUDUP INFOTECH PRIVATE LIMITED Cloudup Joomla  on Debian 9,CLOUDUPINFOTECHPRIVATELIMITED,License,Google
CLOUDUP INFOTECH PRIVATE LIMITED Advance CyberPanel,CLOUDUPINFOTECHPRIVATELIMITED,License,Google
CLOUDUP INFOTECH PRIVATE LIMITED Advance WordPress,CLOUDUPINFOTECHPRIVATELIMITED,License,Google
Google Cloud Platform Apigee team Apigee Developer Portal,GoogleCloudPlatformApigeeteam,License,Google
Rohde & Schwarz Cybersecurity SAS R&SWeb Application Firewall - Pay as you go,Rohde&SchwarzCybersecuritySAS,License,Google
Rohde & Schwarz Cybersecurity SAS R&SWeb Application Firewall - BYOL,Rohde&SchwarzCybersecuritySAS,License,Google
CIS (Center for Internet Security) CIS Ubuntu Linux 16.04 LTS Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2019 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 7 STIG Benchmark,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2016 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2019 STIG Benchmark,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS NGINX on CentOS Linux 7 Benchmark - Level 1 - Webserver,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2016 Benchmark - Level 2,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS PostgreSQL 11 on CentOS Linux 7 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS CentOS Linux 8 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Ubuntu Linux 18.04 LTS Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2016 STIG Benchmark - Level 3,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 7 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS CentOS Linux 6 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS SUSE Linux Enterprise Server 15 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS SUSE Linux Enterprise Server 11 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Ubuntu Linux 20.04 LTS STIG Benchmark,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Debian Linux 9 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 7 Benchmark - Level 2,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 8 Benchmark - Level 2,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS CentOS Linux 7 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Ubuntu Linux 14.04 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2008 R2 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 6 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS SUSE Linux Enterprise Server 12 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Microsoft Windows Server 2019 Benchmark - Level 2,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Red Hat Enterprise Linux 8 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Debian Linux 10 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
CIS (Center for Internet Security) CIS Debian Linux 8 Benchmark - Level 1,CIS(CenterforInternetSecurity),License,Google
Check Point Software Technologies Check Point CloudGuard IaaS Firewall & Threat Prevention (BYOL),CheckPointSoftwareTechnologies,License,Google
Check Point Software Technologies Check Point CloudGuard IaaS High Availability (PAYG),CheckPointSoftwareTechnologies,License,Google
Check Point Software Technologies Check Point CloudGuard IaaS High Availability (BYOL),CheckPointSoftwareTechnologies,License,Google
Check Point Software Technologies Check Point CloudGuard IaaS Security Autoscaling (BYOL),CheckPointSoftwareTechnologies,License,Google
Check Point Software Technologies Check Point CloudGuard IaaS Security Autoscaling (PAYG),CheckPointSoftwareTechnologies,License,Google
Thales - European Union - Frankfurt CipherTrust Manager,Thales-EuropeanUnion-Frankfurt,License,Google
Dace IT d/b/a Sense Traffic Pulse Sense Traffic Pulse and Cloud AutoML,DaceITLLCd/b/aSenseTrafficPulse,License,Google
Dace IT d/b/a Sense Traffic Pulse Sense Traffic Pulse and AutoML Video Intelligence,DaceITLLCd/b/aSenseTrafficPulse,License,Google
Google Cloud Platform Financial Services team Datashare,GoogleCloudPlatformFinancialServicesteam,License,Google
Cloud DNS,DNS,Network,Google
Networking,Nat,Network,Google
Certificate Manager,SSL,Network,Google
Cloud IDS,CloudIDS,Network,Google
Firebase Hosting,CDNCacheEgress,Network,Google
Cloud Domains,DomainRegistration,Network,Google
MultiClusterIngress,MultiClusterIngress,Network,Google
Cloud Tasks,PremiumInternetEgress,Network,Google
API Gateway,PremiumInternetEgress,Network,Google
Cloud SQL,PremiumInternetEgress,Network,Google
Artifact Registry,PremiumInternetEgress,Network,Google
Firebase Realtime Database,FirebaseInternetEgress,Network,Google
Backup,Backup,Storage,Azure
Backup Standard Storage Reservation,Backup,Storage,Azure
Premium ADLS Gen2 Flat Namespace,Storage,Storage,Azure
Files v2,Storage,Storage,Azure
General Block Blob,Storage,Storage,Azure
ADLS Gen2 Reservation,Storage,Storage,Azure
AWS Backup,Storage,Storage,AWS
AWS Backup support for Amazon S3 (Preview),Storage,Storage,AWS
Amazon FSx for Lustre,Storage,Storage,AWS
Premium SSD Managed Disks,Storage,Storage,Azure
File Sync,Storage,Storage,Azure
Disk Reservation,Storage,Storage,Azure
AWS Snow Family,Storage,Storage,AWS
Standard Page Blob v2,Storage,Storage,Azure
General Block Blob v2 Hierarchical Namespace,Storage,Storage,Azure
Premium Block Blob v2 Hierarchical Namespace,Storage,Storage,Azure
Amazon FSx for OpenZFS,Storage,Storage,AWS
Amazon S3 Glacier,Storage,Storage,AWS
Amazon FSx for Windows File Server,Storage,Storage,AWS
Standard SSD Managed Disks,Storage,Storage,Azure
Standard HDD Managed Disks,Storage,Storage,Azure
Files,Storage,Storage,Azure
Storage - Bandwidth,Storage,Storage,Azure
Tables,Storage,Storage,Azure
AWS Backup support for VMware workloads,Storage,Storage,AWS
Import/Export,Storage,Storage,Azure
Amazon Elastic Block Store (EBS),Storage,Storage,AWS
Queues v2,Storage,Storage,Azure
Storage Reserved Capacity,Storage,Storage,Azure
Premium Files Reserved Capacity,Storage,Storage,Azure
Premium Files Reservation Free Meter,Storage,Storage,Azure
Change Feed,Storage,Storage,Azure
Azure Data Lake Storage Gen2 Hierarchical Namespace,Storage,Storage,Azure
CloudEndure Disaster Recovery,Storage,Storage,AWS
Queues,Storage,Storage,Azure
Amazon Simple Storage Service (S3),Storage,Storage,AWS
Files Reserved Capacity,Storage,Storage,Azure
Amazon Elastic File System (EFS),Storage,Storage,AWS
Blob Features,Storage,Storage,Azure
Azure Data Lake Storage Gen2 Flat Namespace,Storage,Storage,Azure
Premium ADLS Gen2 Hierarchical Namespace,Storage,Storage,Azure
Blob Lifecycle Management,Storage,Storage,Azure
Premium Block Blob,Storage,Storage,Azure
Storage - Inter-Region Bandwidth,Storage,Storage,Azure
Amazon FSx,Storage,Storage,AWS
Premium Page Blob,Storage,Storage,Azure
Premium Files,Storage,Storage,Azure
Disk Pool,Storage,Storage,Azure
Block Blob Reservation,Storage,Storage,Azure
Amazon EBS Snapshots Archive,Storage,Storage,AWS
Blob Storage,Storage,Storage,Azure
Ultra Disks,Storage,Storage,Azure
General Block Blob v2,Storage,Storage,Azure
Files Reservation Free Meter,Storage,Storage,Azure
AWS Storage Gateway,Storage,Storage,AWS
Amazon S3 Glacier Instant Retrieval,Storage,Storage,AWS
Standard Page Blob,Storage,Storage,Azure
Data Box Gateway,Data Box,Storage,Azure
Data Box,Data Box,Storage,Azure
Data Box Heavy,Data Box,Storage,Azure
Data Box Disk,Data Box,Storage,Azure
Cloud Filestore,Filestore,Storage,Google
Transfer Appliance,Appliances,Storage,Google
StorSimple,StorSimple,Storage,Azure
Backup for GKE,BackupVault,Storage,Google
Transfer Service,DataTransfer,Storage,Google
Cloud Storage,NearlineStorage,Storage,Google
Azure NetApp Files Reservation,Azure NetApp Files,Storage,Azure
Azure NetApp Files,Azure NetApp Files,Storage,Azure
Azure NetApp Files Reserved Capacity,Azure NetApp Files,Storage,Azure
Data Catalog,ApplicationServices,Storage,Google
Google Service Control,ServiceControl,Utility,Google
AWS RoboMaker,Robotics,Robotics,AWS
Azure Dedicated HSM,Key Vault,Security,Azure
Key Vault HSM Pool,Key Vault,Security,Azure
Key Vault,Key Vault,Security,Azure
Microsoft Defender for Azure Cosmos DB,Azure Defender,Security,Azure
Microsoft Defender for Containers,Azure Defender,Security,Azure
Microsoft Defender for MariaDB,Azure Defender,Security,Azure
Microsoft Defender for App Service,Security Center,Security,Azure
Microsoft Defender for Servers,Security Center,Security,Azure
Microsoft Defender for IoT - Managed Devices,Azure IoT Security,Security,Azure
Microsoft Defender for IoT - Agentless OT,Azure IoT Security,Security,Azure
Microsoft Defender for SQL,Advanced Data Security,Security,Azure
Azure Stack Edge Pro 2,Advanced Data Security,Security,Azure
Azure confidential ledger,Azure confidential ledger,Security,Azure
Microsoft Defender for DNS,Advanced Threat Protection,Security,Azure
Microsoft Defender for PostgreSQL,Advanced Threat Protection,Security,Azure
Microsoft Defender for Key Vault,Advanced Threat Protection,Security,Azure
Microsoft Defender for MySQL,Advanced Threat Protection,Security,Azure
Microsoft Defender for Storage,Advanced Threat Protection,Security,Azure
Microsoft Defender for Resource Manager,Advanced Threat Protection,Security,Azure
Azure Active Directory B2C,Azure Active Directory B2C,Security,Azure
Microsoft Azure Payment HSM,Microsoft Azure Payment HSM,Security,Azure
Azure Active Directory Domain Services,Azure Active Directory Domain Services,Security,Azure
Azure Active Directory B2X,Azure Active Directory for External Identities,Security,Azure
SignalR,SignalR,Analytics,Azure
Power BI Premium Embedded,Power BI,Analytics,Azure
Power BI Premium,Power BI,Analytics,Azure
Amazon Managed Streaming for Apache Kafka (Amazon MSK) Serverless (Preview),Analytics,Analytics,AWS
AWS Data Exchange,Analytics,Analytics,AWS
Amazon EMR Serverless (Preview),Analytics,Analytics,AWS
AWS Glue,Analytics,Analytics,AWS
Amazon Managed Streaming for Apache Kafka (MSK),Analytics,Analytics,AWS
Amazon Kinesis,Analytics,Analytics,AWS
Amazon Athena,Analytics,Analytics,AWS
Amazon Redshift Serverless (Preview),Analytics,Analytics,AWS
Amazon OpenSearch Service (successor to Amazon Elasticsearch Service),Analytics,Analytics,AWS
AWS Lake Formation,Analytics,Analytics,AWS
AWS Data Pipeline,Analytics,Analytics,AWS
Amazon CloudSearch,Analytics,Analytics,AWS
Amazon EMR,Analytics,Analytics,AWS
Amazon FinSpace,Analytics,Analytics,AWS
Amazon QuickSight,Analytics,Analytics,AWS
HDInsight ESv3 Series,HDInsight,Analytics,Azure
HDInsight NC Series,HDInsight,Analytics,Azure
HDInsight D Series,HDInsight,Analytics,Azure
HDInsight A Series,HDInsight,Analytics,Azure
HDInsight G Series,HDInsight,Analytics,Azure
HDInsight Storage,HDInsight,Analytics,Azure
HDInsight ID Broker,HDInsight,Analytics,Azure
HDInsight F Series,HDInsight,Analytics,Azure
HDInsight FSv2 Series,HDInsight,Analytics,Azure
HDInsight Ev3 Series,HDInsight,Analytics,Azure
HDInsight Av2 Series,HDInsight,Analytics,Azure
HDInsight FS Series,HDInsight,Analytics,Azure
HDInsight Add-on Software,HDInsight,Analytics,Azure
HDInsight Eav4/Easv4 Series,HDInsight,Analytics,Azure
Web PubSub,Web PubSub,Analytics,Azure
Data Catalog,Data Catalog,Analytics,Azure
Azure Purview Scanning Ingestion and Classification,Azure Purview,Analytics,Azure
Azure Purview Data Map,Azure Purview,Analytics,Azure
Data Lake Store,Data Lake Store,Analytics,Azure
Azure Data Share,Azure Data Share,Analytics,Azure
Azure Databricks,Azure Databricks,Analytics,Azure
Azure Databricks Reservation,Azure Databricks,Analytics,Azure
Stream Analytics,Stream Analytics,Analytics,Azure
Stream Analytics on Edge,Stream Analytics,Analytics,Azure
Power BI Embedded,Power BI Embedded,Analytics,Azure
Azure Data Factory,Azure Data Factory,Analytics,Azure
Azure Data Explorer,Azure Data Explorer,Analytics,Azure
Azure Data Explorer Reservation,Azure Data Explorer,Analytics,Azure
Azure Data Factory v2 Data Flow - Memory Optimized,Azure Data Factory v2,Analytics,Azure
SSIS Standard D-series v3 VM,Azure Data Factory v2,Analytics,Azure
Azure Data Factory v2 Wrangling Data Flow - Memory Optimized,Azure Data Factory v2,Analytics,Azure
SSIS Enterprise E-series v3 VM,Azure Data Factory v2,Analytics,Azure
SSIS Standard E-series v3 VM,Azure Data Factory v2,Analytics,Azure
Azure Data Factory v2 Data Flow - Compute Optimized,Azure Data Factory v2,Analytics,Azure
SSIS Standard A-series v2 VM,Azure Data Factory v2,Analytics,Azure
Azure Data Factory v2 Data Flow - General Purpose,Azure Data Factory v2,Analytics,Azure
SSIS Enterprise D-series v2 VM,Azure Data Factory v2,Analytics,Azure
Azure Data Factory v2,Azure Data Factory v2,Analytics,Azure
SSIS Enterprise A-series v2 VM,Azure Data Factory v2,Analytics,Azure
SSIS Enterprise E-series v4 VM,Azure Data Factory v2,Analytics,Azure
